iter	Passed	Remaining
0	3	323
1	5	276
2	7	242
3	9	217
4	10	201
5	12	191
6	13	181
7	15	178
8	17	176
9	18	169
10	19	161
11	21	154
12	22	147
13	22	141
14	23	135
15	24	130
16	25	125
17	26	121
18	27	116
19	28	114
20	29	111
21	30	109
22	31	106
23	32	104
24	33	100
25	34	98
26	35	95
27	35	92
28	36	90
29	37	87
30	38	84
31	38	82
32	39	80
33	40	77
34	40	75
35	41	73
36	41	71
37	42	69
38	43	67
39	44	66
40	44	64
41	45	62
42	46	61
43	46	59
44	47	58
45	48	56
46	48	55
47	49	53
48	50	52
49	50	50
50	51	49
51	51	47
52	52	46
53	53	45
54	53	43
55	54	42
56	54	41
57	55	40
58	55	38
59	56	37
60	57	36
61	57	35
62	58	34
63	59	33
64	59	32
65	60	31
66	61	30
67	62	29
68	62	28
69	63	27
70	64	26
71	64	25
72	65	24
73	66	23
74	66	22
75	67	21
76	68	20
77	68	19
78	69	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	5
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	83	0
99	84	0
