iter	Passed	Remaining
0	142	142021
1	143	71418
2	143	47834
3	144	36031
4	145	28931
5	146	24194
6	146	20807
7	147	18287
8	148	16317
9	148	14734
10	149	13436
11	150	12354
12	150	11436
13	151	10651
14	152	9984
15	152	9387
16	153	8861
17	153	8398
18	154	7981
19	155	7605
20	155	7267
21	156	6957
22	157	6673
23	157	6420
24	158	6186
25	159	5963
26	159	5756
27	160	5564
28	160	5388
29	161	5223
30	162	5069
31	162	4922
32	163	4785
33	163	4655
34	164	4533
35	164	4418
36	165	4308
37	166	4205
38	166	4109
39	169	4059
40	169	3975
41	170	3890
42	171	3808
43	171	3730
44	172	3655
45	172	3586
46	173	3519
47	174	3459
48	175	3398
49	175	3338
50	176	3279
51	176	3223
52	177	3169
53	177	3117
54	178	3066
55	179	3018
56	179	2971
57	180	2926
58	180	2882
59	181	2842
60	182	2808
61	183	2769
62	183	2733
63	184	2696
64	184	2661
65	185	2627
66	186	2593
67	186	2560
68	187	2529
69	188	2502
70	189	2474
71	189	2445
72	190	2416
73	190	2389
74	191	2362
75	192	2335
76	192	2309
77	193	2284
78	193	2260
79	194	2237
80	195	2214
81	195	2192
82	196	2167
83	198	2161
84	199	2143
85	199	2123
86	200	2103
87	201	2084
88	201	2066
89	202	2048
90	203	2031
91	204	2013
92	204	1995
93	205	1978
94	205	1961
95	206	1944
96	207	1928
97	207	1912
98	208	1897
99	209	1882
100	209	1867
101	210	1854
102	211	1839
103	212	1826
104	212	1813
105	213	1799
106	214	1786
107	214	1773
108	215	1761
109	216	1749
110	216	1736
111	217	1725
112	218	1713
113	219	1702
114	219	1690
115	220	1679
116	220	1667
117	221	1657
118	222	1646
119	223	1635
120	223	1624
121	224	1613
122	225	1604
123	225	1595
124	226	1586
125	227	1578
126	228	1569
127	229	1560
128	229	1552
129	230	1542
130	231	1533
131	231	1524
132	232	1515
133	233	1507
134	233	1499
135	234	1491
136	235	1483
137	236	1475
138	236	1466
139	237	1458
140	237	1449
141	238	1441
142	239	1433
143	239	1425
144	240	1417
145	241	1409
146	242	1405
147	243	1400
148	244	1394
149	244	1387
150	245	1380
151	246	1373
152	246	1367
153	247	1360
154	248	1354
155	249	1348
156	249	1341
157	250	1334
158	251	1327
159	251	1321
160	252	1313
161	253	1308
162	253	1303
163	254	1297
164	255	1292
165	256	1286
166	256	1280
167	257	1274
168	258	1268
169	258	1263
170	259	1257
171	260	1251
172	260	1245
173	261	1240
174	262	1235
175	262	1230
176	263	1225
177	264	1219
178	264	1214
179	265	1209
180	266	1203
181	266	1198
182	267	1193
183	268	1189
184	269	1185
185	269	1180
186	270	1175
187	270	1169
188	271	1165
189	272	1160
190	272	1155
191	273	1151
192	274	1146
193	274	1141
194	275	1137
195	276	1132
196	276	1128
197	277	1123
198	278	1119
199	278	1114
200	279	1110
201	279	1105
202	280	1101
203	281	1097
204	282	1093
205	282	1090
206	283	1085
207	284	1081
208	284	1077
209	285	1073
210	285	1069
211	286	1065
212	287	1061
213	288	1058
214	288	1054
215	289	1051
216	290	1047
217	290	1043
218	291	1039
219	292	1036
220	293	1032
221	293	1029
222	294	1025
223	295	1022
224	296	1020
225	296	1017
226	297	1013
227	298	1009
228	298	1006
229	299	1002
230	300	999
231	300	995
232	301	992
233	302	989
234	303	986
235	303	983
236	304	980
237	305	976
238	305	973
239	306	970
240	306	966
241	307	963
242	309	965
243	310	962
244	311	959
245	311	955
246	312	952
247	313	949
248	313	946
249	314	943
250	315	940
251	315	937
252	316	935
253	317	932
254	318	929
255	318	926
256	319	923
257	319	920
258	320	917
259	321	914
260	321	911
261	322	908
262	323	905
263	324	903
264	324	900
265	325	897
266	325	894
267	326	891
268	327	888
269	327	886
270	328	883
271	329	880
272	329	878
273	330	875
274	331	872
275	331	870
276	332	867
277	333	865
278	333	862
279	334	859
280	334	857
281	335	854
282	336	852
283	336	849
284	337	847
285	338	844
286	339	842
287	339	840
288	340	837
289	341	835
290	341	832
291	342	830
292	343	827
293	343	825
294	344	822
295	345	820
296	345	818
297	346	815
298	347	813
299	347	811
300	348	809
301	349	806
302	349	804
303	350	802
304	351	800
305	351	797
306	352	795
307	353	793
308	353	791
309	354	789
310	355	786
311	355	784
312	356	782
313	357	780
314	357	777
315	358	775
316	359	773
317	359	771
318	360	769
319	360	766
320	361	764
321	362	762
322	363	760
323	363	759
324	364	757
325	365	755
326	365	753
327	366	751
328	367	749
329	368	747
330	368	745
331	369	743
332	370	742
333	371	741
334	372	740
335	373	738
336	374	735
337	374	733
338	375	731
339	375	729
340	377	729
341	378	727
342	378	725
343	379	723
344	380	721
345	380	719
346	381	717
347	382	716
348	382	714
349	383	712
350	384	710
351	384	708
352	385	706
353	386	704
354	386	702
355	387	700
356	387	698
357	388	696
358	389	695
359	390	693
360	390	691
361	391	689
362	392	688
363	392	686
364	393	684
365	394	682
366	394	680
367	395	679
368	396	677
369	396	675
370	397	674
371	398	673
372	399	671
373	399	669
374	400	667
375	401	665
376	401	664
377	402	662
378	403	660
379	403	658
380	404	657
381	405	655
382	405	653
383	406	651
384	407	650
385	407	648
386	408	647
387	409	645
388	409	643
389	410	642
390	411	641
391	412	639
392	412	637
393	413	636
394	414	634
395	414	632
396	415	631
397	416	629
398	417	628
399	417	626
400	418	624
401	418	623
402	419	621
403	420	619
404	420	618
405	421	616
406	422	615
407	423	613
408	423	612
409	424	611
410	425	609
411	426	608
412	427	607
413	428	606
